"","x"
"628","@anandsays @ChaseSupport the american public on the historical injustices that was facilitated against African Americans proving why we are"
"629","@anandsays @ChaseSupport Salaam my brother. I am the owner of 4orty acres apparel for your mind a clothing line that was created to educate"
"630","@ChaseSupport time**"
"631","@ChaseSupport this**"
"632","@ChaseSupport thus my fisrt using tweeter.. is this going to be private"
"633","@ChaseSupport it was resolved."
"634","I filed a report but have yet to receive any updates regarding the claim and credit back to my account. @ChaseSupport"
"635","I spoke with someone earlier about a fraudulent charge made to my account this morning but my account still shows overdrawn @ChaseSupport"
"636","@M00se18 @ChaseSupport you are being rude Mike"
"637","@ChaseSupport so rumors about a january return are unfounded?"
"638","@ChaseSupport but it's not enough.. so i have to ask for more?"
"639","@ChaseSupport I do have one.. freedom chase card."
"640","@ChaseSupport Yes.  It is silly that you can download statements but not the actual data to Excel"
"641","@ChaseSupport Yes.  Also restored iPod. App won't finish installing. Error: IOS ver 7.0 required, but 6.1.6 is latest"
"642","@ChaseSupport hey guys. back when the atm slurped up my checks and then shut down, i need a copy of those checks. they don't show up online"
"643","@ChaseSupport  hello, quick question do give out personal loans?"
"644","@ChaseSupport Why won't the mobile app work with my iPod?"
"645","@ChaseSupport ok. Thank you. Fwiw, AMEX has it."
"646","@ChaseSupport not going to lie, Chase support is awesome. Great customer service from their end"
"647","@ChaseSupport thanks, it's working now"
"648","@ChaseSupport your phone reps already made it clear you are all useless and can't do anything. I won't be a customer in the future."
"649","@ChaseSupport What the hell you Talm bout?"
"650","@ChaseSupport saving account"
"651","@ChaseSupport ur apply now button on sapphire preferred page isnt working, nor do ne phone#s allow to speak 2 sum1. I want a card, help?"
"652","@ChaseSupport how can i contac you from mexico?"
"653","Why won't Chase Mobile App work on my iPod Touch with the latest IOS?@ChaseSupport"
"654","@ChaseSupport any word on when UR transfers to KE will resume?"
"655","@ChaseSupport   follow back please, thanks :)"
"656","@chasesupport You bet I'll tweet (first!) if I ever need help in the future. Thanks again."
"657","@ChaseSupport a sincere thank you!"
"658","@ChaseSupport Over the phone! She was very polite and professional."
"659","OMG @chasesupport was awesome in solving my problem! Dan showed amazing patience and everything is great now. Thank you, Dan &amp; Twitter!"
"660","@ChaseSupport well actually it's too late already changed banks but know you guys lost 4 customers of 7 years"
"661","@ChaseSupport It'd be awesome if we could download a whole year's worth of numbers to Excel"
"662","My @ChaseSupport account got 4 figures..<ed><U+00A0><U+00BD><ed><U+00B2><U+00B3> #INeedMoreDoe"
"663","@ChaseSupport was not happy with your customer service. I wanted to cash my paycheck instead left in tears"
"664","@ChaseSupport Thanks, I will do that."
"665","@ChaseSupport sure I would be happy to"
"666","@ChaseSupport ive had a chase checking acct for 5 yrs.  Just found out you fund al sharpton.  Gonna have to find a new bank."
"667","@ChaseSupport nah bitch Fuck you and Fuck Chase y'all some may back bitches"
"668","@ChaseSupport I do have plenty of questions about checking accts"
"669","@ChaseSupport thank you so much!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+00B8><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"670","RT @ChaseSupport: @PapaDick614 Thanks for allowing me to help with your concerns today. Feel free to reach out if you ever have questions a…"
"671","@Chase @ChaseSupport over a #decade w/ y'all &amp; never have you shown me some #love"
"672","@ChaseSupport No, the problem remains unsolved. Rep told me he'd call back yesterday and never did. Can you assist?"
"673","@ChaseSupport i applied for a credit card and was accepted but never got my card or anything in the mail"
"674","@ChaseSupport no personal loans <ed><U+00A0><U+00BD><ed><U+00B1><U+008E>"
"675","RT @ChaseSupport: @Bombaclotty What happened to make you feel this way? Please follow/DM details of your concerns. We'd like to see how we …"
"676","RT @ChaseSupport: Have you picked up a new hobby yet? It’s National Hobby Month and our new favorite is underwater basket weaving! ^DS"
"677","@ChaseSupport Thanks for being so helpful after my flight was canceled. Far superior customer service than the actual airline! #thanksAnna5Y"
"678","@ChaseSupport thank you for reaching out but unfortunately I do not have a name"
"679","@chasesupport how do i get my new CC to show up on my online statement?"
"680","Hey @Chase @ChaseSupport, why hasn't EMV been added to the @united card yet?  I think it's the only airline card without it now!"
"681","I suppose when you work @ChaseSupport you're not obligated to call people back? I'm looking at you Felicia H, Danielle W &amp; Lucila B. #chase"
"682","@ChaseSupport my friends got them in thier postal mail so wondering what's the eligibility criteria"
"683","@ChaseSupport some friends have got better than this (more than double what the link offers). Is there anyways i can get those"
"684","@ChaseSupport What company do you use to do get FICO scores, e.g Transunion, Experian, etc?"
"685","@ChaseSupport the executor is a friend of the family that has moved out of state. Is there a form I can mail her?"
"686","@ChaseSupport When you send chase quick pay from a non-chase account does it immediately send you email verification that you sent paymnt?"
"687","@ChaseSupport I will!!"
"688","@ChaseSupport HUGE issue closing a short sale that was approved. Chase Closer is NOT GREAT, 3rd approval letter now expired, Please HELP!"
"689","@ChaseSupport thank you for your respond, love this support!"
"690","@business It really  seems  true. Regulations can go too far. I never had any problem with  @Chase and get great @ChaseSupport @nami13"
"691","@ChaseSupport Will do! Headed your way ..."
"692","@ChaseSupport
 hey chase people,
So what's the deal with you guys covering broken phones up to 120 days after the purchase? 
#help"
"693","@ChaseSupport messaged you guys were you able to figure out why I was charged 25$ for a service fee?"
"694","@ChaseSupport Tweeting away... The #chase #apps menu could use some tweaking. It still doesn't look like it fits in with the rest of the app"
"695","@ChaseSupport done"
"696","@chasesupport: i have certain questions regarding my account please advise!
Thanks"
"697","RT @ChaseSupport: @jrobinson82 Never fear, the color blue will always hold a special place in our hearts. If we can offer our assistance, p…"
"698","Facts right just handle the $$ keep it movin!! RT @datassholemeeka: Why they tryna be homies? @ItsQuietForYou @ChaseSupport"
"699","NA FAM RT @ChaseSupport: It’s a great morning to cozy up to a nice hot chocolate and tweet us. ... http://t.co/8nNslFKNII"
"700","@ChaseSupport it says: foreign check are not usable with quick deposit :("
"701","@ChaseSupport It's been a week and I have not gotten my card. Cannot believe it's taking that long."
"702","@ChaseSupport where can i change my currency of Canadian dollars to US dollars?"
"703","@ChaseSupport really, a bank using hashtag #gobucks? How original!"
"704","Might quit @Chase. #goblue “@ChaseSupport:our team is in the ""Buckeye State,"" we want to congratulate The Ohio State Buckeyes! #GoBucks ^MM”"
"705","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…"
"706","@ChaseSupport Thank you very much. Tonya had been a pleasure to speak with"
"707","@ChaseSupport can't say 140 char are enough to exp months of issues that I keep having to call chase about #dobetter #usecreditunions"
"708","@ChaseSupport ok thanks! What are documents needed in order to open the account?"
"709","@ChaseSupport Thank you for your help. Situation resolved!"
"710","@ChaseSupport Thank you! It was a different number. I just resent everything now :)"
"711","@ChaseSupport @Chase ok sounds good."
"712","@ChaseSupport yes, thank you!"
"713","RT @ChaseSupport: @donnadoesphotos Hello, you can fax the documents to 866-220-4130. Please let me know if this is the number you've attemp…"
"714","@chasesupport can you give me the best fax or email for the short sale department? I have faxed docs for days and they won't go through."
"715","@ChaseSupport Thanks for elevating it through the appropriate channels. Received a personal telephone call today and appreciated that."
"716","@ChaseSupport I have a question about quick pay. Can a representative call me"
"717","@ChaseSupport i have a few questions .. #helpme"
"718","@ChaseSupport Hi! If i add an authorized user, do I get separate reporting / statements for the other card?"
"719","@ChaseSupport Are there any perks for referrals? I have a friend who wants to open a checking account."
"720","@ChaseSupport Once the payment went through on Monday it stopped. So all is well."
"721","@ChaseSupport Thanks for waiving the fees-- thanks for real this time =]"
"722","@ChaseSupport What should I do, in order to be able to use the coupon to open the account in your banking branch."
"723","@ChaseSupport Yes. I shouldn't be asked for the same shit twice."
"724","@ChaseSupport Thanks, if I get anything else I will just forward it"
"725","@OverlordDarrell If only @ChaseSupport was the only firm suffering from this issue. What's the point, really."
"726","@ChaseSupport I am on the phone with someone right now."
"727","@ChaseSupport Already spoke to cust.service -told me no one can help and that's the way it is (Slate Card) which prompted me to tweet it."
"728","@ChaseSupport : I got this $200/200 checking /saving Bonus coupon from the mail, but when I tried to use it, was told it is invalid, why?"
"729","@ChaseSupport I have a mortgage and 2 credit cards with you. How can I not open a checking account online or over the phone?"
"730","@ChaseSupport Sending you a DM now."
"731","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…"
"732","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…"
"733","@ChaseSupport I actually ended up calling in and spoke to someone on the help line."
"734","@janiobi @ChaseSupport If you need anything Amy just contact my Barclaycard US, @AskBCUS they'll help. ^TM"
"735",".@ChaseSupport just DMd you. I have now contacted you for 4th time about issue. Let's see what you can do before I go back to @Barclaycard"
"736","I have to say...calling a bank shouldn't make me this happy. Thank you @ChaseSupport for always being amazing! #CustomerService #bank"
"737","@ChaseSupport is it safe to use my chase account on Apps like Mint and Level ?"
"738","@chasesupport 
Been waiting on my card for &gt;1 week when I was told next day shipping! Have a trip this weekend and want to use the card…."
"739","@ChaseSupport Does the Chase Sapphire Preferred still receive triple points at restaurants on the first Friday of each month?"
"740","@ChaseSupport I had an account. You stranded me in DC. I have moved to NY where you have branches. I would like to clear  up the account"
"741","@ChaseSupport Thank You, It makes it a lot harder when you get direct deposit and need cash. I appreciate it"
"742","@ChaseSupport cool nite!"
"743","@ChaseSupport Frustrated w/ lack of customer service. Told to arrive by 5:45 to open new biz account. Arrive at 5:45, no one there to help"
"744","@ChaseSupport  Hello . I'm a chase customer and I am currently overseas , I may have forgotten my user ID /password but when"
"745","@ChaseSupport I forgot my QuickPay credentials. How can I get it back? I see the reset option for Chase customers but not for non customers."
"746","@ChaseSupport spent over an hour trying to get it to work, but never could. The ordering system seems to be way out of date."
"747","@ChaseSupport Hi, You guys should put a Chase ATM in Rantoul, Illinois. I have to travel 20 - 25 min to get to a Chase ATM."
"748","@ChaseSupport Are there plans to bring back eBills for BofA? Will probably cancel my card due to the hassle but thought I'd check first."
"749","@nbc6 @ChaseSupport  ask chase how they use my dead mom to justify giving 83 yr old 3rd mortgage"
"750","@ChaseSupport the branch on Gender. The bankers name was Francesca Hargrow. She was the only banker helping customers while we were there."
"751","@ChaseSupport ask your co conspirator what happened when he stole    THIEVES. SUE ME. TEUTH IS COMPLETE DEFENSE."
"752","@ChaseSupport  I'm glad you ignored me. I was on the fence cuz I want someone in jail. Never got to put one in jail just get them put"
"753","@ChaseSupport guess it's time to see who ready to have some fun. No arbitration agreement crap. I Put 12 people in box !!!"
"754","@ChaseSupport  SUBORNATION OF TRUST means we screw the original mortgage group n take priority when 83 yr old dies That's why they max house"
"755","RT @ChaseSupport: @pickmyflorez I'm thrilled I could help you and provide a great experience. If we can offer our assistance in the future,…"
"756","Which media do I give the exclusive ?  I have docs proving jpmorgan knowingly defrauded other lenders and the government. @ChaseSupport"
"757","I love when a company has great customer service. Just talked to @ChaseSupport and they were extremely helpful!"
"758","@ChaseSupport Help. I've stood in line forever at my branch and not a banker in sight. Can I call you for help? Please?"
"759","@ChaseSupport Did that on 12/26/14, got no response. Why bother."
"760","@ChaseSupport new cust+needed card by 2PM 2day and was told Sat deliv.Not true:sent overnight saver so might not have it in time for trip!"
"761","@ChaseSupport DM'd, cheers!"
"762","I wanted to transfer money to the savings account and it is no longer a savings account. Please explain, @ChaseSupport."
"763","@ChaseSupport still haven't received new CC's been over month."
"764","@ChaseSupport Clearing the cache seems to have worked for now.  Thanks for your help."
"765","@ChaseSupport I want to cancel husband as AU from my Sapphire Pref card so he can apply for his own. Will this affect his credit?"
"766","@ChaseSupport No change, Chrome incognito and when searching I get to the /flight/fullResult?qid=... and the whole page will freeze up"
"767","@ChaseSupport How can I reload my Liquid Card from Canada? Thanks!"
"768","@ChaseSupport We have had transactions from Rackspace on a non-Chase card.  Is there something else we can look at?  Thanks!"
"769","@ChaseSupport if I have a negative balance on my credit card how can I go about getting that back to me"
"770","@ChaseSupport how about we discuss over the phone. You know…the old fashion way."
"771","@ChaseSupport thank you so much! You guys are the best! Have  a great day!"
"772","@ChaseSupport i logged on my account and saw 2 charges i didnt make  #helpme"
"773","@ChaseSupport Have not reinstalled, but ill try that. Thanks."
"774","RT @ChaseSupport: @PrinceBryce23 Good morning! We are following you. Feel free to tweet us if you ever have any account questions. ^SG"
"775","@ChaseSupport Tried to use the pin sent to me at ATM, didn't work; tried to use night deposit, no supplies, had to deposit ck w/o d/slip etc"
"776","@ChaseSupport much appreciated!"
"777","@ChaseSupport  if i extract from new zeland, will i be able to extract usd cash,  o i will get local currency? Is there a max amount?"
"778","@ChaseSupport I have followed your handle how come no one has reached out to me."
"779","@ChaseSupport When does the 7% point dividend for the CSP post, and how can I view it?"
"780","@ChaseSupport
you have fucked up my log in and password. i enter my ATM debt card for verification and it declines it…??? GET IT FIGURED OUT"
"781","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"782","@ChaseSupport I made two transactions and now I cannot make one more, tell me fraud prevention has something to do with that??"
"783","@ChaseSupport So now I can't use the app on my phone which I need. Because I'm not updating to 7 if I don't have to yet."
"784","@ChaseSupport Your iOS mobile app ought to be be enhanced to support TouchID and @1Password API integration. Please pass along this request!"
"785","RT @jimmynicks1: its never too early to start planning for retirement #rothIRA @Chase @ChaseSupport @ChaseSmallBiz"
"786","@united It's too bad you charged my #chase #mileageplus #mastercard $200 in unauthorized fees to redeposit miles @ChaseSupport"
"787","@ChaseSupport thanks guys. Can't believe you came through via Twitter!"
"788","@ChaseSupport Follow me back I bank with you guys"
"789","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"790","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"791","@ChaseSupport everything's good on this end, I'll message you if there are anymore issues. Thanks for reaching out though."
"792","@ChaseSupport Can you tell me whether Rackspace falls in the ""cellular phone, landline, internet and cable TV services"" category?"
"793","@ChaseSupport Really NOT happy that you're forcing a mobile app update on me to continue using app &amp; it won't update unless I DL IOS7"
"794","@ChaseSupport deposit account."
"795","@ChaseSupport If I were to get both the marriott premier personal and marriott premier business card, would I get 30 elite night credits?"
"796","@ChaseSupport It did. On Firefox. Thank you!"
"797","@ChaseSupport can I add an extra person to my accounts over the phone?"
"798","@ChaseSupport I set up a direct deposit with my uni but i put savings instead of checking, i dont have savings, what will happen?"
"799","RT @ChaseSupport: @ColeUsry @Verifone may not have Apple Pay integrated with their systems. If you’d pls follow/DM your name &amp; zip code, I …"
"800","@ChaseSupport I sent you a DM"
"801","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" Feel free to stay warm inside and tw…"
"802","@ChaseSupport yeah I do need help with something."
"803","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" ^MM #FunnyBank"
"804","@ChaseSupport Had an awful phone experience w/mortgage banker based in Phoenix, AZ. Disappointed loyal customer for +15YR"
"805","@ChaseSupport Sent!"
"806","@ChaseSupport sent!"
"807","Second time in two months I've had fraudulent credit charges. Chase customer service @ChaseSupport was quick to correct the problem. #Chase"
"808","RT @makerofthings7: .@ChaseSupport #security and #privacy concern:Why does @LiveRamp @Acxiom @rocketfuelinc marketing collect data while do…"
"809","@ChaseSupport I called in and spoke to a manager, she pushed it through,"
"810","@ChaseSupport Got it. Still disappointing but thanks for the clarification DS!"
"811","@ChaseSupport Thanks for you help."
"812","@BreakingOutBad That's great to hear! Feel free to tweet @ChaseSupport if you ever have any account questions or concerns. ^SG"
"813","@ChaseSupport Alright. If I set up an acct &amp; link my DDeposit from my job to it, how long will it take to process for next Fri. deposit?"
"814","@ChaseSupport no I didnt. Ur outsourced customer service SUCKS. Last time I checked you were an American company!"
"815","I am dependent on those funds. @ChaseSupport isn't going to front me. ""Owen"" said letter mailed that I never received. Where's the letter?"
"816","Just spent time on the phone with ""Owen"" of @ChaseSupport- bank teller on 1/2 said money would be released on 1'8, still on hold"
"817","Absolutely disgusted with @ChaseSupport right now. Transfered banks because I was told #CustomerService would be better. Obviously not."
"818","RT @ChaseSupport: @Leighleigh521 Thank you for informing us of this number. I will forward this internally to be reviewed. Have a great wee…"
"819","@ChaseSupport It's only fair to praise, if you have ever complained publicly. My expectations were exceeded."
"820","@iashea Thanks for the feedback; we'll be sure to share it with our developers. Pls tweet @ChaseSupport if you ever have acct questions. ^SG"
"821","@ChaseSupport Excellent experience with your customer service today! Katie resolved my issue in a speedy and friendly manner. Thank you."
"822","@ChaseSupport Why are you penalizing the poor for using your bank? If you don't want us, just make the limit to open an account higher."
"823","@ChaseSupport and @SouthwestAir 1/2 9 days into the New Year and I have still not heard back about my companion pass. I got over 110,000 pts"
"824","@ChaseSupport Thanks!"
"825","@ChaseSupport 1/2 You guys closed my account due to ""fraud"" while I had an extended trip abroad, and I was unable to get to a branch in time"
"826","@chasesupport cancel that request. i figured it out now.  nevermind. sigh."
"827","@ToniDeLancey @ChaseSupport @USPS will u please send a direct message so I  an send u number to call."
"828","@ChaseSupport glad to hear! Ya'll are the best! <U+263A><U+FE0F>"
"829","@ChaseSupport Why did my Chase Best Buy account close? Now I have available credit I can't use."
"830","@ChaseSupport hope you are here in southern Florida or Hawaii. Otherwise standing outside is a very good way to chill"
"831","@ChaseSupport thank you"
"832","@ChaseSupport Thank you for your help!"
"833","@ChaseSupport 1/2 AutoPay is not an option, I cant monitor what my upcoming payments are using that instead suddenly money just disappears"
"834","@ChaseSupport Thanks!"
"835","you might want to send out new debit cards before you cancel someone's ONLY working CARD. @Chase @Chase @ChaseSupport"
"836","@ChaseSupport Yeah, for $6. Per month. Fuck that. It's illegal."
"837","@ChaseSupport What if the address isn't local? Does it matter?"
"838","@ChaseSupport You should have gotten the hint by now. Short of 5 years minimum at 0%, sending more mail doesn't help."
"839","RT @ChaseSupport: @MsAshleyGrier I am glad that Diana was able to provide you with such a great experience. I will share this with the Bran…"
"840","@ChaseSupport the branch location is Palatine IL Branch 000993"
"841","@dtemkin @ChaseSupport It's getting too expensive to send email and pdf."
"842","@ChaseSupport That was in the Chase branch on 6th Ave &amp; 44th St in Manhattan"
"843","@ChaseSupport I have the app I was in the mountains with no service, that's the dumbest fee ever, all I'm doing is checking balance"
"844","@ChaseSupport WE ARE STILL LOOKING FOR OUR FIRST EVER CORPORATE SPONSOR.. PLEASE LOG ON TO http://t.co/OWt0crju6v  AND SIGN UP TODAY!!!"
"845","@ChaseSupport you haven't resolved my problem though<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>"
"846","RT @ChaseSupport: @LuxeyGaxiola_ I'm happy to hear that Judy was able to address your concerns. Did you speak with her in a branch or over …"
"847","@ChaseSupport i just did"
"848","@ChaseSupport just having TWTR presence is not good customer support."
"849","@ChaseSupport the customer service I received was great. Worth the wait. Thanks!"
"850","@ChaseSupport bye going"
"851","@ChaseSupport thanks for the social media command center tour!"
"852","@ChaseSupport  Please let me know how can i get my refund back.. my Ph: 9728027712"
"853","@ChaseSupport I used to be able to deposit a whole stack of cash at once"
"854","@ChaseSupport the staff at the branch doesn't seem to care"
"855","@ChaseSupport the ATM in bowling green has been having problems with cash deposits for months. More than 2 bills at a time is rejected!"
"856","RT @ChaseSupport: @rpwenzel We hope you enjoy the benefit of having account alerts. Please let us know if you have any questions. ^NA"
"857","@SoBeLIVE We're happy to hear of your great experience &amp; we'll forward it to the branch. If you ever need anything, tweet @ChaseSupport. ^SG"
"858","@ChaseSupport that makes no sense on any planet. I want to see 2014s transactions on one spreadsheet. @AmericanExpress does it."
"859","Punny: RT @ChaseSupport: We’re leaving for the day. We got new reversible jackets. We’re excited to see how they turn out! ^AG"
"860","@ChaseSupport done!"
"861","@ChaseSupport How do I go about overnighting my new credit card I was approved for? Thanks! #travelingsoon"
"862","@anandsays @ChaseSupport or acres4orty@yahoo.com. or 801-688-3117"
"863","@anandsays @ChaseSupport deserving of reparations. Our online store is now open for business. http://t.co/85E7oFAnm0. I am also looking for"
"864","@anandsays @ChaseSupport the american public on the historical injustices that was facilitated against African Americans proving why we are"
"865","@anandsays @ChaseSupport Salaam my brother. I am the owner of 4orty acres apparel for your mind a clothing line that was created to educate"
"866","@ChaseSupport time**"
"867","@ChaseSupport thus my fisrt using tweeter.. is this going to be private"
"868","I filed a report but have yet to receive any updates regarding the claim and credit back to my account. @ChaseSupport"
"869","@ChaseSupport but it's not enough.. so i have to ask for more?"
"870","@ChaseSupport Yes.  It is silly that you can download statements but not the actual data to Excel"
"871","@ChaseSupport hey guys. back when the atm slurped up my checks and then shut down, i need a copy of those checks. they don't show up online"
"872","@ChaseSupport  hello, quick question do give out personal loans?"
"873","@ChaseSupport Why won't the mobile app work with my iPod?"
"874","@ChaseSupport not going to lie, Chase support is awesome. Great customer service from their end"
"875","@ChaseSupport What the hell you Talm bout?"
"876","Why won't Chase Mobile App work on my iPod Touch with the latest IOS?@ChaseSupport"
"877","@ChaseSupport any word on when UR transfers to KE will resume?"
"878","@ChaseSupport   follow back please, thanks :)"
"879","@ChaseSupport It'd be awesome if we could download a whole year's worth of numbers to Excel"
"880","@ChaseSupport Thanks, I will do that."
"881","@ChaseSupport ive had a chase checking acct for 5 yrs.  Just found out you fund al sharpton.  Gonna have to find a new bank."
"882","RT @ChaseSupport: @PapaDick614 Thanks for allowing me to help with your concerns today. Feel free to reach out if you ever have questions a…"
"883","@Chase @ChaseSupport over a #decade w/ y'all &amp; never have you shown me some #love"
"884","@ChaseSupport No, the problem remains unsolved. Rep told me he'd call back yesterday and never did. Can you assist?"
"885","@ChaseSupport no personal loans <ed><U+00A0><U+00BD><ed><U+00B1><U+008E>"
"886","@ChaseSupport Thanks for being so helpful after my flight was canceled. Far superior customer service than the actual airline! #thanksAnna5Y"
"887","@ChaseSupport , all is well now.  Thanks so much!"
"888","@chasesupport Thank you for offering to look into it. I just DMed you."
"889","@ChaseSupport Tried multiple browsers, computers and cleared cache. Screen still freezes when trying to display search results."
"890","@ChaseSupport I have direct messaged you!"
"891","@ChaseSupport Just tried again and all is well.  Thanks!"
"892","I know it's a 1st world problem, but I've literally spent hours on the phone over this with @chasesupport (incl 30 min today). Annoying."
"893","@ChaseSupport Thanks!"
"894","@cbrangel @NYAmNews What's going on in W. Harlem? @ChaseSupport Still waiting 4 125th/Branch Mgr 2 call &amp; now the PO. http://t.co/dRPbpcKPzt"
"895","@ChaseSupport When will your website be fully functional for your customers? I cannot access the secure messages. Zip is 75243."
"896","Per Melissa T, supervisor at @ChaseSupport has numerous complaints of site being down. Opened ticket, but can't advise when it will be up."
"897","yesterday sucked but @ChaseSupport made it better informing me that by using the card 2 rent &amp; with require met they cover what ins doesn't"
"898","@ChaseSupport you guys continue to fail on all fronts."
"899","@Chase @ChaseSupport I can't access the website. Is it anything wrong?"
"900","@ChaseSupport is the website down could not log in and the page said to check this twitter page?"
"901","@ChaseSupport When will online banking be back up and running.  Cannot log in.  Thx"
"902","@ChaseSupport want to try chase checking account. Couole of friends have got promos of few $$ bonus when opened new acc.  Sadly not me <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"903","@ChaseSupport The web and mobile site appear to be down at the moment folks."
"904","Hi @ChaseSupport - Are you having online banking issues again today? I can get to login page, but can't actually get it to load past that."
"905","@ChaseSupport Davison South
1121 S State Rd 
Davison, MI 48423"
"906","<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>RT @GuttaMoss: Go fuck your own face “@ChaseSupport: @GuttaMoss Non-account owners (cont) http://t.co/SGdWBFl34f"
"907","RT @ChaseSupport: @aubreystrobel We are happy that Doreen provided you with great customer service. I'll share your wonderful comments with…"
"908","Go fuck your own face “@ChaseSupport: @GuttaMoss Non-account owners are able to deposit checks, transfer funds, or use Chase QuickPay”"
"909","@ChaseSupport no. I went through the entire application twice only to get an error once submitting. Happened last time I tried this too."
"910","@ChaseSupport Yes I can."
"911","@ChaseSupport That would be great, Thank You!"
"912","@ChaseSupport any plans of including Touch ID in your iOS app?"
"913","RT @ChaseSupport: Have you picked up a new hobby yet? It’s National Hobby Month and our new favorite is underwater basket weaving! ^DS"
"914","@ChaseSupport Got it. thanks. Not sure what was going on but everything came back up. All good. Have a great day!"
"915","@520eastbrands I'm sorry if you had any issues with our site. Please tweet us @ChaseSupport if we may assist with any account questions. ^MB"
"916","@ChaseSupport if I'm 5.79 overdrawn will I get fee assessed"
"917","@ChaseSupport if I'm 5.79 overdrawn will I get an overdraft fee"
"918","RT @ChaseSupport: @kendallswrite Hello. We received your DMs and would like to reply in kind. Can you please follow us so that we may do so…"
"919","@ChaseSupport We've picked a hobby it's never send email to /\DS+@sidleyaustinllp attorney on @att @Ford #F150-5-14 http://t.co/ctRcRtXPLB"
"920","RT @ChaseSupport: Have you picked up a new hobby yet? It’s National Hobby Month and our new favorite is underwater basket weaving! ^DS"
"921","@ChaseSupport Hey, are you able to let me know if my bill payment went through? thanks."
"922","@ChaseSupport thanks, no longer needed"
"923","@ChaseSupport I'm not a customer, but would like to become a customer.  But I'd rather communicate via email than over the phone or Twitter"
"924","I would like to know if it would be possible to get a custom card with a personal photo. @ChaseSupport"
"925","@ChaseSupport @SouthwestAir the rapid rewards free drink coupons I received in the mail are of little value because I do not drink alcohol."
"926","@Chase @ChaseSupport why is your customer service so terrible? Called 3 reps, got 3 different answers about auto lien release. Been 1 wk"
"927","@ChaseSupport oh well, closing account. ""Amazon points"" not really worth it."
"928","@ChaseSupport please dm as i have a few questions i need to ask"
"929","@ChaseSupport thanks...I've moved on to other resentments. County line Rd and Emerson in Indy. Hasn't been the same since Angelica C left."
"930","RT @ChaseSupport: We’ll leave you with a piece of trivia: Who is the only woman to have appeared on the front of US paper currency? Martha …"
"931","RT @ChaseSupport: We’ll leave you with a piece of trivia: Who is the only woman to have appeared on the front of US paper currency? Martha …"
"932","@ChaseSupport I have tried multiple devices and browsers. I assure you flight search is not working."
"933","@ChaseSupport your Ultimate Rewards travel site has been down all day? What's going on?"
"934","@ChaseSupport you don't care about me :("
"935","RT @ChaseSupport: @KenBob_ 2/2 Tweet us if you ever need assistance. ^AN"
"936","RT @ChaseSupport: @KenBob_ 1/2 I apologize for your experience w/our debit cards. I'll share your concerns internally as feedback."
"937","Thank you @ChaseSupport still unsure if fully resolved. Waiting for mail to arrive. Will DM if I need further assistance."
"938","@ChaseSupport My screen keeps freezing when I try to book a Chase Sapphire Ultimate Rewards trip. I've tried booking 5 times now..."
"939","@ChaseSupport Please help! Returning flights aren't showing up, so I can't book a trip with my #ultimaterewardspoints!"
"940","@ChaseSupport so I followed you, what next?"
"941","@ChaseSupport stop trying to catfish me and make better debit cards"
"942","RT @ChaseSupport: @KenBob_ I'd like to learn more about your debit card concerns. Can you follow/DM your name, zip code, and the issue you'…"
"943","@ChaseSupport No need for that. As long as the branch knows about the delay, I'm happy enough. Thanks for your help!"
"944","@ChaseSupport My DM has been sent! Thanks for helping out! :D"
"945","@ChaseSupport  sure- send me a number I can call you on"
"946","@ChaseSupport combine points sorry. Thanks for the clarification and quick response"
"947","@ChaseSupport thanks a lot!"
"948","@ChaseSupport I'm currently a sapphire preferred member and wanted to add the freedom card, can I combine spending into one reward account?"
"949","@ChaseSupport Does that sound right...? Or should I have gotten the extra points...?"
"950","@ChaseSupport Is there a way to send a secure message regarding another person's account without knowing their SSN?"
"951","@ChaseSupport thanks"
"952","2/2 @ChaseSupport ""No $1500/No Direct deposit? That'll be $120 a year"" - talk about no respect for customers. <ed><U+00A0><U+00BD><ed><U+00B1><U+008E>"
"953","1/2 @ChaseSupport I already closed my account, but you can help yourself by not charging hardworking customers for being average Americans."
